pass_id,sequence_index,observation_id,category,object_id,sample_index,description,model_x,model_y,registration_default,pixel_x,pixel_y,source_image,source_image_sha256,image_width_pixels,image_height_pixels
pass-03,52,moon_south_east_arc_05,moon_circumference,moon_south_east,5,Visible circumference sample 5/6 for south east Moon.,,,false,875.77353412368302,1283.3287722032048,data/working/figure12/city_of_revelation_page_065.png,4f9ab63b94ac4c1a2ce2fe5217c2cb0542a6df77e30eb1f272f5c6f2c3d650d6,1512,2327
pass-03,53,moon_south_east_arc_06,moon_circumference,moon_south_east,6,Visible circumference sample 6/6 for south east Moon.,,,false,865.27453400446211,1198.3823166931434,data/working/figure12/city_of_revelation_page_065.png,4f9ab63b94ac4c1a2ce2fe5217c2cb0542a6df77e30eb1f272f5c6f2c3d650d6,1512,2327
pass-03,54,moon_south_arc_01,moon_circumference,moon_south,1,Visible circumference sample 1/6 for south Moon.,,,false,669.13412268628622,1200.7684530838756,data/working/figure12/city_of_revelation_page_065.png,4f9ab63b94ac4c1a2ce2fe5217c2cb0542a6df77e30eb1f272f5c6f2c3d650d6,1512,2327
pass-03,55,moon_south_arc_02,moon_circumference,moon_south,2,Visible circumference sample 2/6 for south Moon.,,,false,829.48248814348108,1202.6773621964612,data/working/figure12/city_of_revelation_page_065.png,4f9ab63b94ac4c1a2ce2fe5217c2cb0542a6df77e30eb1f272f5c6f2c3d650d6,1512,2327
pass-03,56,moon_south_arc_03,moon_circumference,moon_south,3,Visible circumference sample 3/6 for south Moon.,,,false,847.13989743489833,1328.1881363489676,data/working/figure12/city_of_revelation_page_065.png,4f9ab63b94ac4c1a2ce2fe5217c2cb0542a6df77e30eb1f272f5c6f2c3d650d6,1512,2327
pass-03,57,moon_south_arc_04,moon_circumference,moon_south,4,Visible circumference sample 4/6 for south Moon.,,,false,802.28053328913552,1374.0019550510233,data/working/figure12/city_of_revelation_page_065.png,4f9ab63b94ac4c1a2ce2fe5217c2cb0542a6df77e30eb1f272f5c6f2c3d650d6,1512,2327
pass-03,58,moon_south_arc_05,moon_circumference,moon_south,5,Visible circumference sample 5/6 for south Moon.,,,false,688.70044109028925,1370.184136825852,data/working/figure12/city_of_revelation_page_065.png,4f9ab63b94ac4c1a2ce2fe5217c2cb0542a6df77e30eb1f272f5c6f2c3d650d6,1512,2327
pass-03,59,moon_south_arc_06,moon_circumference,moon_south,6,Visible circumference sample 6/6 for south Moon.,,,false,651.9539406730155,1329.1425909052605,data/working/figure12/city_of_revelation_page_065.png,4f9ab63b94ac4c1a2ce2fe5217c2cb0542a6df77e30eb1f272f5c6f2c3d650d6,1512,2327
pass-03,60,moon_south_west_arc_01,moon_circumference,moon_south_west,1,Visible circumference sample 1/6 for south west Moon.,,,false,569.8708488318324,1328.1881363489676,data/working/figure12/city_of_revelation_page_065.png,4f9ab63b94ac4c1a2ce2fe5217c2cb0542a6df77e30eb1f272f5c6f2c3d650d6,1512,2327
pass-03,61,moon_south_west_arc_02,moon_circumference,moon_south_west,2,Visible circumference sample 2/6 for south west Moon.,,,false,434.33830183825108,1271.3980902495446,data/working/figure12/city_of_revelation_page_065.png,4f9ab63b94ac4c1a2ce2fe5217c2cb0542a6df77e30eb1f272f5c6f2c3d650d6,1512,2327
pass-03,62,moon_south_west_arc_03,moon_circumference,moon_south_west,3,Visible circumference sample 3/6 for south west Moon.,,,false,435.76998367269033,1176.4298618984085,data/working/figure12/city_of_revelation_page_065.png,4f9ab63b94ac4c1a2ce2fe5217c2cb0542a6df77e30eb1f272f5c6f2c3d650d6,1512,2327
pass-03,63,moon_south_west_arc_04,moon_circumference,moon_south_west,4,Visible circumference sample 4/6 for south west Moon.,,,false,499.24121166616328,1119.6398157989852,data/working/figure12/city_of_revelation_page_065.png,4f9ab63b94ac4c1a2ce2fe5217c2cb0542a6df77e30eb1f272f5c6f2c3d650d6,1512,2327
pass-03,64,moon_south_west_arc_05,moon_circumference,moon_south_west,5,Visible circumference sample 5/6 for south west Moon.,,,false,610.43516747427748,1150.1823616003558,data/working/figure12/city_of_revelation_page_065.png,4f9ab63b94ac4c1a2ce2fe5217c2cb0542a6df77e30eb1f272f5c6f2c3d650d6,1512,2327
pass-03,65,moon_south_west_arc_06,moon_circumference,moon_south_west,6,Visible circumference sample 6/6 for south west Moon.,,,false,628.56980404384126,1178.3387710109942,data/working/figure12/city_of_revelation_page_065.png,4f9ab63b94ac4c1a2ce2fe5217c2cb0542a6df77e30eb1f272f5c6f2c3d650d6,1512,2327
pass-03,66,moon_west_south_arc_01,moon_circumference,moon_west_south,1,Visible circumference sample 1/6 for west south Moon.,,,false,199.24778867652799,952.45748015452318,data/working/figure12/city_of_revelation_page_065.png,4f9ab63b94ac4c1a2ce2fe5217c2cb0542a6df77e30eb1f272f5c6f2c3d650d6,1512,2327
pass-03,67,moon_west_south_arc_02,moon_circumference,moon_west_south,2,Visible circumference sample 2/6 for west south Moon.,,,false,243.91962906348556,892.5566032720119,data/working/figure12/city_of_revelation_page_065.png,4f9ab63b94ac4c1a2ce2fe5217c2cb0542a6df77e30eb1f272f5c6f2c3d650d6,1512,2327
pass-03,68,moon_west_south_arc_03,moon_circumference,moon_west_south,3,Visible circumference sample 3/6 for west south Moon.,,,false,372.8588047258404,900.67875606964049,data/working/figure12/city_of_revelation_page_065.png,4f9ab63b94ac4c1a2ce2fe5217c2cb0542a6df77e30eb1f272f5c6f2c3d650d6,1512,2327
pass-03,69,moon_west_south_arc_04,moon_circumference,moon_west_south,4,Visible circumference sample 4/6 for west south Moon.,,,false,406.36268501605855,1017.4347025355523,data/working/figure12/city_of_revelation_page_065.png,4f9ab63b94ac4c1a2ce2fe5217c2cb0542a6df77e30eb1f272f5c6f2c3d650d6,1512,2327
