pass_id,endpoint_index,endpoint_id,candidate_step,candidate_notation,ray_0_target_id,ray_1_target_id,ray_0_angular_residual_degrees,ray_1_angular_residual_degrees,pair_rms_degrees,pair_maximum_degrees,endpoint_pass_winner
pass-03,0,star_endpoint_00_top,1,perimeter,star_endpoint_01_upper_left,star_endpoint_06_upper_right,26.367721335669,26.989494868899,26.680419428054,26.989494868899,false
pass-03,0,star_endpoint_00_top,2,{7/2},star_endpoint_02_lower_left,star_endpoint_05_lower_right,0.441938963637,1.222691254041,0.919316036597,1.222691254041,true
pass-03,0,star_endpoint_00_top,3,{7/3},star_endpoint_03_bottom_left,star_endpoint_04_bottom_right,25.175605188120,24.596149468608,24.887563814787,25.175605188120,false
pass-03,1,star_endpoint_01_upper_left,1,perimeter,star_endpoint_02_lower_left,star_endpoint_00_top,27.878948230665,24.102094770480,26.059036117759,27.878948230665,false
pass-03,1,star_endpoint_01_upper_left,2,{7/2},star_endpoint_03_bottom_left,star_endpoint_06_upper_right,2.298557443593,1.535601039805,1.954665812223,2.298557443593,true
pass-03,1,star_endpoint_01_upper_left,3,{7/3},star_endpoint_04_bottom_right,star_endpoint_05_lower_right,23.453837603582,27.176775501882,25.383652465858,27.176775501882,false
pass-03,2,star_endpoint_02_lower_left,1,perimeter,star_endpoint_01_upper_left,star_endpoint_03_bottom_left,25.738677548431,28.126102388437,26.958831182999,28.126102388437,false
pass-03,2,star_endpoint_02_lower_left,2,{7/2},star_endpoint_00_top,star_endpoint_04_bottom_right,0.072049978744,2.276951170433,1.610853474400,2.276951170433,true
pass-03,2,star_endpoint_02_lower_left,3,{7/3},star_endpoint_06_upper_right,star_endpoint_05_lower_right,25.627999907777,23.496094162380,24.585166464359,25.627999907777,false
pass-03,3,star_endpoint_03_bottom_left,1,perimeter,star_endpoint_02_lower_left,star_endpoint_04_bottom_right,26.613878938100,26.401771667526,26.508037453912,26.613878938100,false
pass-03,3,star_endpoint_03_bottom_left,2,{7/2},star_endpoint_01_upper_left,star_endpoint_05_lower_right,0.772642537070,0.753092123978,0.762929956578,0.772642537070,true
pass-03,3,star_endpoint_03_bottom_left,3,{7/3},star_endpoint_00_top,star_endpoint_06_upper_right,24.856831667927,24.763021881040,24.809971112927,24.856831667927,false
pass-03,4,star_endpoint_04_bottom_right,1,perimeter,star_endpoint_05_lower_right,star_endpoint_03_bottom_left,25.362641349690,27.479370244186,26.442195117369,27.479370244186,false
pass-03,4,star_endpoint_04_bottom_right,2,{7/2},star_endpoint_06_upper_right,star_endpoint_02_lower_left,0.185139671815,1.683622615876,1.197677296013,1.683622615876,true
pass-03,4,star_endpoint_04_bottom_right,3,{7/3},star_endpoint_00_top,star_endpoint_01_upper_left,26.008719120452,24.254369955983,25.146848035571,26.008719120452,false
pass-03,5,star_endpoint_05_lower_right,1,perimeter,star_endpoint_06_upper_right,star_endpoint_04_bottom_right,27.218131768180,26.309418845376,26.767631730613,27.218131768180,false
pass-03,5,star_endpoint_05_lower_right,2,{7/2},star_endpoint_00_top,star_endpoint_03_bottom_left,1.296179090019,0.739516093008,1.055216633024,1.296179090019,true
pass-03,5,star_endpoint_05_lower_right,3,{7/3},star_endpoint_01_upper_left,star_endpoint_02_lower_left,24.357231172780,24.931865746038,24.646223239907,24.931865746038,false
pass-03,6,star_endpoint_06_upper_right,1,perimeter,star_endpoint_00_top,star_endpoint_05_lower_right,25.515118399581,26.323249994100,25.922333587050,26.323249994100,false
pass-03,6,star_endpoint_06_upper_right,2,{7/2},star_endpoint_01_upper_left,star_endpoint_04_bottom_right,0.012662710465,0.602782500977,0.426325631249,0.602782500977,true
pass-03,6,star_endpoint_06_upper_right,3,{7/3},star_endpoint_02_lower_left,star_endpoint_03_bottom_left,25.876091006229,24.998787267881,25.441220987085,25.876091006229,false
